Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,08 mm"
"10,42","40,37","0,7","1,8",,,,
"10,44","40,45","0,7","1,8",,,,
"10,46","40,53","0,7","1,8",,,,
"10,48","40,61","0,7","1,8",,,,
"10,5","40,7","0,7","1,8",,,,
"10,52","40,78","0,7","1,8",,,,
"10,54","40,87","0,7","1,8",,,,
"10,56","40,97","0,7","1,9",,,,
"10,58","41,06","0,7","1,9",,,,
"10,6","41,16","0,8","1,9",,,,
"10,62","41,25","0,8","1,9",,,,
"10,64","41,34","0,8","1,9",,,,
"10,66","41,43","0,8","1,9",,,,
"10,68","41,52","0,8","1,9",,,,
"10,7","41,62","0,7","1,9",,,,
"10,72","41,71","0,7","1,8",,,,
"10,74","41,8","0,7","1,8",,,,
"10,76","41,9","0,7","1,8",,,,
"10,78","41,99","0,7","1,9",,,,
"10,8","42,08","0,8","1,9",,,,
"10,82","42,17","0,9","1,9",,,,
"10,84","42,25","0,9",2,,,,
"10,86","42,32",1,2,,,,
"10,88","42,39",1,2,,,,
"10,9","42,45",1,2,,,,
"10,92","42,51",1,2,,,,
"10,94","42,56","0,9",2,,,,
"10,96","42,62","0,9","1,9",,,,
"10,98","42,68","0,8","1,9",,,,
11,"42,74","0,8","1,9",,,,
"11,02","42,81","0,7","1,9",,,,
"11,04","42,88","0,7","1,8",,,,
"11,06","42,95","0,7","1,8",,,,
"11,08","43,02","0,7","1,9",,,,
"11,1","43,11","0,8","1,9",,,,
"11,12","43,2","0,9",2,,,,
"11,14","43,29",1,2,,,,
"11,16","43,38","1,1","2,1",,,,
"11,18","43,48","1,2","2,1",,,,
"11,2","43,57","1,1","2,1",,,,
"11,22","43,66","1,1",2,,,,
"11,24","43,72",1,2,,,,
"11,26","43,77","0,9",2,,,,
"11,28","43,8","0,9","1,9",,,,
"11,3","43,83","0,8","1,9",,,,
"11,32","43,86","0,8","1,9",,,,
"11,34","43,9","0,8","1,9",,,,
"11,36","43,94","0,7","1,9",,,,
"11,38","43,99","0,7","1,9",,,,
"11,4","44,05","0,7","1,8",,,,
"11,42","44,11","0,7","1,8",,,,
"11,44","44,18","0,7","1,9",,,,
"11,46","44,24","0,8","1,9",,,,
"11,48","44,3","0,9","1,9",,,,
"11,5","44,35","0,9",2,,,,
"11,52","44,4",1,2,,,,
"11,54","44,46",1,2,,,,
"11,56","44,53","1,1",2,,,,
"11,58","44,61","1,1",2,,,,
"11,6","44,68","1,1",2,,,,
"11,62","44,75",1,2,,,,
"11,64","44,83",1,2,,,,
"11,66","44,91","0,9","1,9",,,,
"11,68",45,"0,8","1,9",,,,
"11,7","45,1","0,7","1,9",,,,
"11,72","45,19","0,7","1,8",,,,
"11,74","45,26","0,7","1,8",,,,
"11,76","45,33","0,7","1,9",,,,
"11,78","45,4","0,8","1,9",,,,
"11,8","45,47","0,8","1,9",,,,
"11,82","45,54","0,8","1,9",,,,
"11,84","45,61","0,9","1,9",,,,
"11,86","45,69","0,9","1,9",,,,
"11,88","45,77","0,9","1,9",,,,
"11,9","45,85","0,8","1,9",,,,
"11,92","45,93","0,8","1,9",,,,
"11,94","46,02","0,8","1,9",,,,
"11,96","46,11","0,7","1,9",,,,
"11,98","46,21","0,7","1,9",,,,
12,"46,31","0,7","1,8",,,,
"12,02","46,42","0,7","1,8",,,,
"12,04","46,52","0,7","1,9",,,,
"12,06","46,62","0,7","1,9",,,,
"12,08","46,72","0,7","1,9",,,,
"12,1","46,82","0,7","1,8",,,,
"12,12","46,93","0,7","1,8",,,,
"12,14","47,02","0,7","1,8",,,,
"12,16","47,11","0,7","1,8",,,,
"12,18","47,19","0,7","1,8",,,,
"12,2","47,27","0,7","1,8",,,,
"12,22","47,34","0,7","1,8",,,,
"12,24","47,42","0,7","1,8",,,,
"12,26","47,48","0,7","1,9",,,,
"12,28","47,53","0,7","1,8",,,,
"12,3","47,57","0,7","1,8",,,,
"12,32","47,6","0,7","1,8",,,,
"12,34","47,64","0,7","1,8",,,,
"12,36","47,69","0,7","1,9",,,,
"12,38","47,75","0,7","1,8",,,,
"12,4","47,82","0,7","1,9",,,,
"12,42","47,9","0,7","1,9",,,,
"12,44","47,98","0,7","1,9",,,,
"12,46","48,08","0,8","1,9",,,,
"12,48","48,16","0,8","1,9",,,,
"12,5","48,24","0,8","1,9",,,,
"12,52","48,3","0,8","1,9",,,,
"12,54","48,36","0,8","1,9",,,,
"12,56","48,41","0,8","1,9",,,,
"12,58","48,46","0,8","1,9",,,,
"12,6","48,52","0,7","1,9",,,,
"12,62","48,6","0,7","1,9",,,,
"12,64","48,68","0,7","1,9",,,,
"12,66","48,77","0,7","1,8",,,,
"12,68","48,86","0,7","1,9",,,,
"12,7","48,94","0,8","1,9",,,,
"12,72","49,03","0,9","1,9",,,,
"12,74","49,13","0,9",2,,,,
"12,76","49,23",1,2,,,,
"12,78","49,34","1,1",2,,,,
"12,8","49,45","1,1",2,,,,
"12,82","49,56",1,2,,,,
"12,84","49,67","0,9",2,,,,
"12,86","49,77","0,8","1,9",,,,
"12,88","49,88","0,7","1,8",,,,
"12,9","49,99","0,7","1,8",,,,
"12,92","50,09","0,8","1,9",,,,
"12,94","50,2","0,9",2,,,,
"12,96","50,3","1,1","2,1",,,,
