Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
"10,36","30,68","0,9","1,9",,,,
"10,38","30,77","0,9","1,9",,,,
"10,4","30,86","0,9","1,9",,,,
"10,42","30,93","0,9","1,9",,,,
"10,44",31,"0,9","1,9",,,,
"10,46","31,07","0,9","1,9",,,,
"10,48","31,13","0,9","1,9",,,,
"10,5","31,19","0,9","1,9",,,,
"10,52","31,25","0,8","1,9",,,,
"10,54","31,31","0,8","1,9",,,,
"10,56","31,37","0,8","1,9",,,,
"10,58","31,42","0,8","1,9",,,,
"10,6","31,48","0,8","1,9",,,,
"10,62","31,53","0,8","1,9",,,,
"10,64","31,59","0,8","1,9",,,,
"10,66","31,64","0,8","1,9",,,,
"10,68","31,7","0,8","1,9",,,,
"10,7","31,75","0,8","1,9",,,,
"10,72","31,81","0,8","1,9",,,,
"10,74","31,87","0,8","1,9",,,,
"10,76","31,93","0,8","1,9",,,,
"10,78",32,"0,8","1,9",,,,
"10,8","32,06","0,8","1,9",,,,
"10,82","32,13","0,8","1,9",,,,
"10,84","32,19","0,8","1,9",,,,
"10,86","32,25","0,8","1,9",,,,
"10,88","32,31","0,8","1,9",,,,
"10,9","32,37","0,8","1,9",,,,
"10,92","32,43","0,8","1,9",,,,
"10,94","32,48","0,8","1,9",,,,
"10,96","32,53","0,8","1,9",,,,
"10,98","32,57","0,8","1,9",,,,
11,"32,6","0,8","1,9",,,,
"11,02","32,64","0,8","1,9",,,,
"11,04","32,67","0,8","1,9",,,,
"11,06","32,71","0,8","1,9",,,,
"11,08","32,75","0,8","1,9",,,,
"11,1","32,8","0,8","1,9",,,,
"11,12","32,87","0,8","1,9",,,,
"11,14","32,94","0,8","1,9",,,,
"11,16","33,03","0,8","1,9",,,,
"11,18","33,12","0,9","1,9",,,,
"11,2","33,22","0,8","1,9",,,,
"11,22","33,33","0,9","1,9",,,,
"11,24","33,44","0,9","1,9",,,,
"11,26","33,54","0,9","1,9",,,,
"11,28","33,64","0,9","1,9",,,,
"11,3","33,71","0,9","1,9",,,,
"11,32","33,76","0,9","1,9",,,,
"11,34","33,8","0,9","1,9",,,,
"11,36","33,83","0,9","1,9",,,,
"11,38","33,9","0,9","1,9",,,,
"11,4","33,98","0,9","1,9",,,,
"11,42","34,09","0,9","1,9",,,,
"11,44","34,22","0,9","1,9",,,,
"11,46","34,34","0,9","1,9",,,,
"11,48","34,44","0,9","1,9",,,,
"11,5","34,54","0,9","1,9",,,,
"11,52","34,61","0,9","1,9",,,,
"11,54","34,68","0,8","1,9",,,,
"11,56","34,74","0,8","1,9",,,,
"11,58","34,79","0,8","1,9",,,,
"11,6","34,84","0,8","1,9",,,,
"11,62","34,9","0,8","1,9",,,,
"11,64","34,96","0,8","1,9",,,,
"11,66","35,02","0,8","1,9",,,,
"11,68","35,08","0,8","1,9",,,,
"11,7","35,15","0,8","1,9",,,,
"11,72","35,24","0,8","1,9",,,,
"11,74","35,33","0,8","1,9",,,,
"11,76","35,42","0,8","1,9",,,,
"11,78","35,52","0,8","1,9",,,,
"11,8","35,63","0,8","1,9",,,,
"11,82","35,73","0,8","1,9",,,,
"11,84","35,84","0,8","1,9",,,,
"11,86","35,95","0,8","1,9",,,,
